YEAR,MONTH,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
1999,10,0.0039,0.0613,0.0338,0.0174,-0.0002,-0.0073,-0.0103,-0.0555,-0.0297,0.0121
1999,11,0.0036,0.0337,0.0314,0.0861,-0.0037,-0.0212,0.0084,0.0369,-0.0246,0.047
1999,12,0.0044,0.0772,0.0855,0.1228,-0.0092,-0.0026,0.0008,0.0378,0.0256,0.0721
2000,1,0.0041,-0.0474,-0.0675,0.0019,-0.0074,-0.0346,-0.0091,0.0682,-0.0007,0.0023
2000,2,0.0043,0.0245,0.0228,0.0089,0.0078,-0.0197,-0.0034,0.0582,-0.0174,0.0573
2000,3,0.0047,0.052,0.0343,0.0002,0.0085,0.028,-0.0187,-0.0163,0.0277,0.0046
2000,4,0.0046,-0.064,-0.057,-0.0994,-0.0075,-0.0479,-0.0048,-0.0137,0.0613,-0.0331
2000,5,0.005,-0.0442,-0.0292,-0.0463,-0.0055,0.0119,-0.0154,0.107,0.0055,-0.0246
2000,6,0.004,0.0464,0.0353,0.0312,0.0168,0.0167,0.0131,0.0673,0.0225,0.0328
2000,7,0.0048,-0.0251,-0.0465,-0.0562,0.0043,-0.0308,0.0024,-0.0816,0.0802,-0.0108
2000,8,0.005,0.0703,0.0039,-0.0001,0.0095,-0.0197,0.0072,0.1491,-0.0447,0.0331
2000,9,0.0051,-0.0545,-0.0536,-0.0924,0.0012,-0.0098,-0.0111,-0.0188,0.0271,-0.0175
2000,10,0.0056,-0.0276,-0.029,-0.0781,0.001,-0.0269,-0.0348,-0.0033,-0.0485,-0.0235
2000,11,0.0051,-0.1072,-0.0424,-0.0925,0.0113,0.0145,-0.0364,0.0871,0.0068,-0.04
2000,12,0.005,0.0119,0.0308,0.0191,0.0136,0.0364,0.016,-0.0256,0.0642,0.0157
2001,1,0.0054,0.0313,-0.0059,0.1323,0.0109,-0.01,0.0549,-0.0585,0.0092,0.0285
2001,2,0.0038,-0.1005,-0.0787,-0.0821,0.0049,-0.0087,0.012,-0.0178,-0.0168,-0.0259
2001,3,0.0042,-0.0726,-0.0704,-0.1024,0.0008,-0.0449,-0.0175,-0.0434,0.0049,-0.0201
2001,4,0.0039,0.0794,0.0662,0.0455,-0.0081,-0.0031,-0.0147,0.0498,0.0224,0.0156
2001,5,0.0032,0.0072,-0.0377,0.0087,0.0028,-0.0071,0.016,-0.0317,0.0221,0.0087
2001,6,0.0028,-0.0194,-0.0433,-0.0233,0.001,-0.0179,-0.0237,-0.0751,0.0557,1E-04
2001,7,0.003,-0.0213,-0.0211,-0.0662,0.0194,0.0213,0.0128,-0.0006,-0.0203,-0.0113
2001,8,0.0031,-0.0646,-0.0282,-0.013,0.0084,0.0432,0.0066,0.0065,0.0308,-0.0072
2001,9,0.0028,-0.0925,-0.1039,-0.1576,0.0088,0.0126,-0.0675,-0.1124,-0.0429,-0.0311
2001,10,0.0022,0.0246,0.0234,0.0599,0.0187,-0.0131,0.0279,-0.0526,-0.0291,0.0179
2001,11,0.0017,0.0754,0.0352,0.1027,-0.0155,-0.0119,0.0308,-0.0554,0.0518,0.019
2001,12,0.0015,0.0161,0.0045,0.0779,-0.0079,-0.0353,-0.0086,-0.0148,0.0249,0.0156
2002,1,0.0014,-0.0144,-0.0545,0.0325,0.0067,-0.0265,0.0042,-0.0326,0.0024,0.0031
2002,2,0.0013,-0.0229,0.0058,0.0151,0.0084,0.0025,-0.0109,0.0424,0.0168,-0.0083
2002,3,0.0013,0.0424,0.0533,0.0589,-0.0179,0.0034,0.0216,0.1335,0.0586,0.0178
2002,4,0.0015,-0.052,0.0057,0.005,0.0179,0.0375,0.0152,0.0096,0.0116,0.0013
2002,5,0.0014,-0.0138,0.0122,-0.0173,0.0071,0.0346,-0.0068,-0.0449,0.0131,-0.001
2002,6,0.0013,-0.0721,-0.0407,-0.0763,0.0074,0.0568,-0.0727,0.0329,0.0261,-0.0207
2002,7,0.0015,-0.0818,-0.1001,-0.0776,0.0106,0.0041,-0.041,0.0043,-0.052,-0.0301
2002,8,0.0014,0.005,-0.0034,0.014,0.0155,0.0151,0.0233,0.0591,-0.0016,0.0039
2002,9,0.0014,-0.1035,-0.1085,-0.1093,0.0148,0.0033,-0.0172,0.0443,-0.0409,-0.0168
2002,10,0.0014,0.0784,0.0524,0.0635,-0.006,-0.01,-0.0098,-0.0486,-0.0471,0.0045
2002,11,0.0012,0.0596,0.0443,0.0676,-0.0015,0.0111,0.0584,-0.0034,0.0441,0.02
2002,12,0.0011,-0.0576,-0.0346,-0.0343,0.0196,0.0528,0.0141,0.0842,0.0103,-0.0032
2003,1,0.001,-0.0257,-0.0427,-0.0054,-0.0001,0.0198,0.0278,0.0889,-0.0289,0.0055
2003,2,0.0009,-0.0188,-0.0238,-0.0279,0.0129,0.0118,0.012,0.1203,0.0153,-0.0007
2003,3,0.001,0.0109,-0.0199,-0.0294,-0.0018,0.0038,0.0249,-0.1451,0.0197,0.0004
2003,4,0.001,0.0822,0.0982,0.0881,0.0073,0.0136,0.0552,-0.0624,0.0467,0.0254
2003,5,0.0009,0.0605,0.0606,0.0709,0.0177,0.0452,0.0097,0.095,0.0603,0.0349
2003,6,0.001,0.0142,0.0237,0.056,-0.003,-0.0196,0.0265,0.0012,0.025,0.0125
2003,7,0.0007,0.0235,0.0237,0.0619,-0.0343,-0.0261,-0.015,0.0064,0.0516,0.0123
2003,8,0.0007,0.0234,0.0236,0.0664,0.0059,-0.0087,0.0119,0.0402,0.0036,0.0176
2003,9,0.0008,-0.0124,0.0302,0.0065,0.0257,0.0623,0.0264,-0.0416,0.0307,0.0108
2003,10,0.0007,0.0608,0.0617,0.0844,-0.01,-0.0029,0.0197,0.0212,0.0208,0.0238
2003,11,0.0007,0.0135,0.0217,0.0116,0.0017,0.0194,0.0126,0.0249,0.0445,0.0099
2003,12,0.0008,0.0429,0.0774,0.0717,0.0094,0.0457,0.0228,0.0617,0.0335,0.0179
2004,1,0.0007,0.0215,0.0135,0.0348,0.0073,0.0013,0.0146,0.0032,0.0423,0.0191
2004,2,0.0006,0.014,0.0227,0.0455,0.0102,-0.002,-0.0012,0.0736,0.0213,0.0113
2004,3,0.0009,-0.0132,0.0051,0.0119,0.0066,0.0153,0.0066,0.0192,0.0551,0.0042
2004,4,0.0008,-0.0183,-0.0226,-0.0826,-0.0268,-0.0465,-0.008,0.0268,-0.1534,-0.0156
2004,5,0.0006,0.0117,0.0037,-0.0203,-0.0046,0.0097,-0.0166,0.0457,0.07,-0.0037
2004,6,0.0008,0.0186,0.0215,0.0038,0.0048,0.0004,0.0138,-0.0478,0.0291,0.0067
2004,7,0.001,-0.0406,-0.0333,-0.0187,0.0089,-0.0098,0.0124,0.0765,-0.0006,-0.0106
2004,8,0.0011,0.0008,0.0035,0.0408,0.018,0.0237,0.0172,-0.0399,0.0777,1E-04
2004,9,0.0011,0.016,0.0252,0.0567,0.0016,0.0156,0.0128,0.125,0.0008,0.0154
2004,10,0.0011,0.0143,0.0331,0.0229,0.0073,0.0339,0.0174,0.0404,0.0444,0.0073
2004,11,0.0015,0.0454,0.0671,0.0911,-0.0095,0.0471,0.0091,-0.0499,0.0449,0.0269
2004,12,0.0016,0.0343,0.0423,0.0465,0.0076,0.0169,0.0133,-0.1015,0.0466,0.0149
2005,1,0.0016,-0.0276,-0.0199,0.0016,0.0047,-0.0203,-0.0024,0.066,-0.0807,-0.0036
2005,2,0.0016,0.0189,0.0418,0.0862,-0.0075,0.0029,0.0125,0.0607,0.0209,0.0167
2005,3,0.0021,-0.0197,-0.0268,-0.068,-0.0072,-0.0181,-0.0293,0.0735,-0.0207,-0.0108
2005,4,0.0021,-0.0261,-0.0245,-0.0288,0.0114,0.0123,-0.0127,-0.0926,0.0447,-0.0171
2005,5,0.0024,0.0365,-0.0009,0.0328,0.0084,-0.0302,0.0162,-0.0097,0.0334,0.008
2005,6,0.0023,0.0057,0.0114,0.0322,0.0032,-0.0144,0.0167,0.0557,0.0447,0.0136
2005,7,0.0024,0.0392,0.0283,0.0684,-0.0115,-0.0107,0.0128,0.0526,0.0633,0.0206
2005,8,0.003,-0.0122,0.0226,0.006,0.0098,0.0146,0.0011,0.1484,-0.0455,0.0052
2005,9,0.0029,0.0049,0.0418,0.0903,-0.0132,-0.023,-0.0129,-0.0027,-0.0039,0.0164
2005,10,0.0027,-0.0202,-0.0318,-0.068,-0.0106,-0.0233,-0.0098,-0.106,-0.03,-0.0168
2005,11,0.0031,0.0361,0.0216,0.0797,0.0013,-0.0181,0.0016,-0.0416,0.0403,0.0135
2005,12,0.0032,-0.0025,0.0434,0.056,0.0063,0.0085,0.0058,0.0255,-0.0054,0.015
2006,1,0.0035,0.0304,0.058,0.1088,-0.0034,0.0158,0.0126,0.0398,0.0665,0.0314
2006,2,0.0034,-0.003,-0.0054,-0.0044,-1E-04,-0.0096,0.003,-0.1044,0.011,0.0011
2006,3,0.0037,0.0146,0.0297,0.0053,-0.0135,-0.0151,0.0023,0.0476,0.0463,0.0158
2006,4,0.0036,0.0073,0.0449,0.0678,-0.0054,0.0271,0.0019,0.0597,-0.0346,0.0151
2006,5,0.0043,-0.0357,-0.0419,-0.1089,-0.0054,0.0164,-0.0046,-0.012,-0.0321,-0.0199
2006,6,0.004,-0.0035,-0.0036,-0.0061,-0.0019,-0.0187,-0.0077,0.0076,0.0459,-0.0064
